+---------------------------------------------------------------------+
|  Log file: mau.resources.log                                        |
|  Compiler version: 9.13.4                                           |
|  Created on: Tue Sep 22 14:04:15 2026                               |
|  Run ID: 4e72bb5825114684                                           |
+---------------------------------------------------------------------+


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Stage Number | Exact Match Input xbar | Ternary Match Input xbar | Hash Bit | Hash Dist Unit | Gateway | SRAM | Map RAM | TCAM | VLIW Instr | Meter ALU | Stats ALU | Stash | Exact Match Search Bus | Exact Match Result Bus | Tind Result Bus | Action Data Bus Bytes | 8-bit Action Slots | 16-bit Action Slots | 32-bit Action Slots | Logical TableID |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|      0       |           25           |            0             |   120    |       5        |    14   |  4   |    0    |  0   |     6      |     0     |     0     |   0   |           14           |           4            |        10       |           20          |         0          |          0          |          0          |        16       |
|      1       |           31           |            0             |   112    |       4        |    9    |  13  |    9    |  0   |     5      |     1     |     0     |   0   |           10           |           4            |        12       |           27          |         0          |          0          |          0          |        16       |
|      2       |           18           |            0             |    72    |       4        |    6    |  11  |    9    |  0   |     5      |     1     |     0     |   0   |           4            |           3            |        13       |           23          |         0          |          0          |          0          |        16       |
|      3       |           7            |            0             |    32    |       2        |    3    |  0   |    0    |  0   |     3      |     0     |     0     |   0   |           3            |           1            |        9        |           8           |         0          |          0          |          0          |        10       |
|      4       |           16           |            0             |    64    |       4        |    3    |  0   |    0    |  0   |     4      |     0     |     0     |   0   |           2            |           2            |        6        |           24          |         0          |          0          |          0          |        8        |
|      5       |           8            |            0             |    72    |       2        |    1    |  5   |    0    |  0   |     2      |     0     |     0     |   0   |           2            |           2            |        2        |           16          |         0          |          0          |          0          |        4        |
|      6       |           12           |            0             |    64    |       4        |    2    |  0   |    0    |  0   |     2      |     0     |     0     |   0   |           1            |           2            |        2        |           10          |         0          |          0          |          0          |        4        |
|      7       |           5            |            0             |    32    |       2        |    2    |  0   |    0    |  0   |     4      |     0     |     0     |   0   |           1            |           1            |        5        |           8           |         0          |          0          |          0          |        6        |
|      8       |           5            |            0             |    32    |       2        |    2    |  0   |    0    |  0   |     2      |     0     |     0     |   0   |           1            |           1            |        3        |           4           |         0          |          0          |          0          |        4        |
|      9       |           10           |            0             |    64    |       4        |    2    |  0   |    0    |  0   |     2      |     0     |     0     |   0   |           1            |           2            |        2        |           8           |         0          |          0          |          0          |        3        |
|      10      |           0            |            0             |    0     |       0        |    0    |  0   |    0    |  0   |     1      |     0     |     0     |   0   |           0            |           0            |        2        |           0           |         0          |          0          |          0          |        2        |
|      11      |           2            |            0             |    0     |       0        |    2    |  0   |    0    |  0   |     1      |     0     |     0     |   0   |           2            |           0            |        2        |           0           |         0          |          0          |          0          |        4        |
|      12      |           13           |            0             |    64    |       4        |    2    |  0   |    0    |  0   |     1      |     0     |     0     |   0   |           1            |           2            |        1        |           8           |         0          |          0          |          0          |        2        |
|      13      |           0            |            0             |    0     |       0        |    0    |  0   |    0    |  0   |     1      |     0     |     0     |   0   |           0            |           0            |        2        |           0           |         0          |          0          |          0          |        2        |
|      14      |           30           |            0             |    96    |       6        |    3    |  0   |    0    |  0   |     2      |     0     |     0     |   0   |           2            |           3            |        1        |           12          |         0          |          0          |          0          |        3        |
|      15      |           2            |            0             |    0     |       0        |    1    |  0   |    0    |  0   |     2      |     0     |     0     |   0   |           1            |           0            |        3        |           0           |         0          |          0          |          0          |        3        |
|      16      |           5            |            7             |    32    |       2        |    1    |  2   |    0    |  2   |     5      |     0     |     0     |   0   |           1            |           1            |        3        |           12          |         0          |          0          |          0          |        4        |
|      17      |           6            |            0             |    8     |       0        |    5    |  0   |    0    |  0   |     3      |     0     |     0     |   0   |           5            |           0            |        5        |           0           |         0          |          0          |          0          |        6        |
|      18      |           13           |            0             |    64    |       4        |    3    |  1   |    0    |  0   |     3      |     0     |     0     |   0   |           2            |           2            |        5        |           20          |         0          |          0          |          0          |        7        |
|      19      |           2            |            0             |    0     |       0        |    2    |  0   |    0    |  0   |     2      |     0     |     0     |   0   |           2            |           2            |        4        |           2           |         0          |          0          |          0          |        4        |
|              |                        |                          |          |                |         |      |         |      |            |           |           |       |                        |                        |                 |                       |                    |                     |                     |                 |
|    Totals    |          210           |            7             |   928    |       49       |    63   |  36  |    18   |  2   |     56     |     2     |     0     |   0   |           55           |           32           |        92       |          202          |         0          |          0          |          0          |       124       |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Stage Number | Exact Match Input xbar | Ternary Match Input xbar | Hash Bit | Hash Dist Unit | Gateway |  SRAM  | Map RAM |  TCAM | VLIW Instr | Meter ALU | Stats ALU | Stash | Exact Match Search Bus | Exact Match Result Bus | Tind Result Bus | Action Data Bus Bytes | 8-bit Action Slots | 16-bit Action Slots | 32-bit Action Slots | Logical TableID |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|      0       |         19.53%         |          0.00%           |  28.85%  |     83.33%     |  87.50% | 5.00%  |  0.00%  | 0.00% |   18.75%   |   0.00%   |   0.00%   | 0.00% |         87.50%         |         25.00%         |      62.50%     |         15.62%        |       0.00%        |        0.00%        |        0.00%        |     100.00%     |
|      1       |         24.22%         |          0.00%           |  26.92%  |     66.67%     |  56.25% | 16.25% |  18.75% | 0.00% |   15.62%   |   25.00%  |   0.00%   | 0.00% |         62.50%         |         25.00%         |      75.00%     |         21.09%        |       0.00%        |        0.00%        |        0.00%        |     100.00%     |
|      2       |         14.06%         |          0.00%           |  17.31%  |     66.67%     |  37.50% | 13.75% |  18.75% | 0.00% |   15.62%   |   25.00%  |   0.00%   | 0.00% |         25.00%         |         18.75%         |      81.25%     |         17.97%        |       0.00%        |        0.00%        |        0.00%        |     100.00%     |
|      3       |         5.47%          |          0.00%           |  7.69%   |     33.33%     |  18.75% | 0.00%  |  0.00%  | 0.00% |   9.38%    |   0.00%   |   0.00%   | 0.00% |         18.75%         |         6.25%          |      56.25%     |         6.25%         |       0.00%        |        0.00%        |        0.00%        |      62.50%     |
|      4       |         12.50%         |          0.00%           |  15.38%  |     66.67%     |  18.75% | 0.00%  |  0.00%  | 0.00% |   12.50%   |   0.00%   |   0.00%   | 0.00% |         12.50%         |         12.50%         |      37.50%     |         18.75%        |       0.00%        |        0.00%        |        0.00%        |      50.00%     |
|      5       |         6.25%          |          0.00%           |  17.31%  |     33.33%     |  6.25%  | 6.25%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         12.50%         |         12.50%         |      12.50%     |         12.50%        |       0.00%        |        0.00%        |        0.00%        |      25.00%     |
|      6       |         9.38%          |          0.00%           |  15.38%  |     66.67%     |  12.50% | 0.00%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         6.25%          |         12.50%         |      12.50%     |         7.81%         |       0.00%        |        0.00%        |        0.00%        |      25.00%     |
|      7       |         3.91%          |          0.00%           |  7.69%   |     33.33%     |  12.50% | 0.00%  |  0.00%  | 0.00% |   12.50%   |   0.00%   |   0.00%   | 0.00% |         6.25%          |         6.25%          |      31.25%     |         6.25%         |       0.00%        |        0.00%        |        0.00%        |      37.50%     |
|      8       |         3.91%          |          0.00%           |  7.69%   |     33.33%     |  12.50% | 0.00%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         6.25%          |         6.25%          |      18.75%     |         3.12%         |       0.00%        |        0.00%        |        0.00%        |      25.00%     |
|      9       |         7.81%          |          0.00%           |  15.38%  |     66.67%     |  12.50% | 0.00%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         6.25%          |         12.50%         |      12.50%     |         6.25%         |       0.00%        |        0.00%        |        0.00%        |      18.75%     |
|      10      |         0.00%          |          0.00%           |  0.00%   |     0.00%      |  0.00%  | 0.00%  |  0.00%  | 0.00% |   3.12%    |   0.00%   |   0.00%   | 0.00% |         0.00%          |         0.00%          |      12.50%     |         0.00%         |       0.00%        |        0.00%        |        0.00%        |      12.50%     |
|      11      |         1.56%          |          0.00%           |  0.00%   |     0.00%      |  12.50% | 0.00%  |  0.00%  | 0.00% |   3.12%    |   0.00%   |   0.00%   | 0.00% |         12.50%         |         0.00%          |      12.50%     |         0.00%         |       0.00%        |        0.00%        |        0.00%        |      25.00%     |
|      12      |         10.16%         |          0.00%           |  15.38%  |     66.67%     |  12.50% | 0.00%  |  0.00%  | 0.00% |   3.12%    |   0.00%   |   0.00%   | 0.00% |         6.25%          |         12.50%         |      6.25%      |         6.25%         |       0.00%        |        0.00%        |        0.00%        |      12.50%     |
|      13      |         0.00%          |          0.00%           |  0.00%   |     0.00%      |  0.00%  | 0.00%  |  0.00%  | 0.00% |   3.12%    |   0.00%   |   0.00%   | 0.00% |         0.00%          |         0.00%          |      12.50%     |         0.00%         |       0.00%        |        0.00%        |        0.00%        |      12.50%     |
|      14      |         23.44%         |          0.00%           |  23.08%  |    100.00%     |  18.75% | 0.00%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         12.50%         |         18.75%         |      6.25%      |         9.38%         |       0.00%        |        0.00%        |        0.00%        |      18.75%     |
|      15      |         1.56%          |          0.00%           |  0.00%   |     0.00%      |  6.25%  | 0.00%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         6.25%          |         0.00%          |      18.75%     |         0.00%         |       0.00%        |        0.00%        |        0.00%        |      18.75%     |
|      16      |         3.91%          |          10.61%          |  7.69%   |     33.33%     |  6.25%  | 2.50%  |  0.00%  | 8.33% |   15.62%   |   0.00%   |   0.00%   | 0.00% |         6.25%          |         6.25%          |      18.75%     |         9.38%         |       0.00%        |        0.00%        |        0.00%        |      25.00%     |
|      17      |         4.69%          |          0.00%           |  1.92%   |     0.00%      |  31.25% | 0.00%  |  0.00%  | 0.00% |   9.38%    |   0.00%   |   0.00%   | 0.00% |         31.25%         |         0.00%          |      31.25%     |         0.00%         |       0.00%        |        0.00%        |        0.00%        |      37.50%     |
|      18      |         10.16%         |          0.00%           |  15.38%  |     66.67%     |  18.75% | 1.25%  |  0.00%  | 0.00% |   9.38%    |   0.00%   |   0.00%   | 0.00% |         12.50%         |         12.50%         |      31.25%     |         15.62%        |       0.00%        |        0.00%        |        0.00%        |      43.75%     |
|      19      |         1.56%          |          0.00%           |  0.00%   |     0.00%      |  12.50% | 0.00%  |  0.00%  | 0.00% |   6.25%    |   0.00%   |   0.00%   | 0.00% |         12.50%         |         12.50%         |      25.00%     |         1.56%         |       0.00%        |        0.00%        |        0.00%        |      25.00%     |
|              |                        |                          |          |                |         |        |         |       |            |           |           |       |                        |                        |                 |                       |                    |                     |                     |                 |
|   Average    |         8.20%          |          0.53%           |  11.15%  |     40.83%     |  19.69% | 2.25%  |  1.88%  | 0.42% |   8.75%    |   2.50%   |   0.00%   | 0.00% |         17.19%         |         10.00%         |      28.75%     |         7.89%         |       0.00%        |        0.00%        |        0.00%        |      38.75%     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


Allocated Resource Usage
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                         Table                          | Stage  | Crossbar | Hash | Gateways | RAMs | TCAMs | Map  | Action |  VLIW |  Exm   |  Exm   |  Tind  |
|                          Name                          | Number |  Bytes   | Bits |          |      |       | RAMs |  Data  | Slots | Search | Result | Result |
|                                                        |        |          |      |          |      |       |      |  Bus   |       |  Bus   |  Bus   |  Bus   |
|                                                        |        |          |      |          |      |       |      | Bytes  |       |        |        |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
|              IngressParser.$PORT_METADATA              |   -1   |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   0   |   0    |   0    |   0    |
|             Ingress.ingress_port_to_nf_dev             |   0    |    2     |  40  |    0     |  4   |   0   |  0   |   4    |   4   |   1    |   1    |   0    |
|                        cond-43                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-44                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-45                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-46                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-47                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-48                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   1    |
|                        cond-49                         |   0    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-50                         |   0    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   1    |
|                        cond-51                         |   0    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-68                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                     cond-68$split                      |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-70                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-71                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-75                         |   0    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   1    |
|                tbl_compute_op_add_285_b                |   0    |    8     |  32  |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   1    |   0    |
|                   tbl_compute_op_xor                   |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_xor_0                  |   0    |    16    |  32  |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   1    |   0    |
|                  tbl_compute_op_xor_3                  |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_xor_4                  |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1384     |   0    |    1     |  16  |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   1    |   0    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput756      |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput761      |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput908      |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput986      |   0    |    0     |  0   |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   0    |   1    |
|              Ingress.bf_1073927040_row_0               |   1    |    0     |  0   |    0     |  9   |   0   |  9   |   0    |   0   |   0    |   0    |   0    |
|          Ingress.vector_table_1073939616_105           |   1    |    4     |  40  |    0     |  4   |   0   |  0   |   4    |   2   |   1    |   1    |   0    |
|                        cond-52                         |   1    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-53                         |   1    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   1    |
|                        cond-56                         |   1    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-57                         |   1    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   1    |
|                        cond-58                         |   1    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-59                         |   1    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-60                         |   1    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-72                         |   1    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-74                         |   1    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   1    |
|          tbl_bf_1073927040_row_0_read_execute          |   1    |    12    |  20  |    0     |  0   |   0   |  0   |   1    |   1   |   0    |   1    |   0    |
|       tbl_bf_1073927040_row_0_set_to_one_execute       |   1    |    12    |  20  |    0     |  0   |   0   |  0   |   1    |   1   |   0    |   1    |   0    |
|                   tbl_build_cpu_hdr                    |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   0    |   1    |
|                   tbl_compute_op_add                   |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_xor_5                  |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_xor_6                  |   1    |    16    |  32  |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   1    |   0    |
|            tbl_compute_rotate_left_108_x_0             |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   0    |   1    |
|           tbl_compute_rotate_left_108_x_k_0            |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   0    |   1    |
|               tbl_compute_rotate_left_4                |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1294     |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1317     |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput839      |   1    |    0     |  0   |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   0    |   1    |
|              Ingress.bf_1073927040_row_1               |   2    |    0     |  0   |    0     |  9   |   0   |  9   |   0    |   0   |   0    |   0    |   0    |
|                        cond-69                         |   2    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-77                         |   2    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-80                         |   2    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|          tbl_bf_1073927040_row_1_read_execute          |   2    |    12    |  20  |    0     |  0   |   0   |  0   |   1    |   1   |   0    |   1    |   0    |
|      tbl_bf_1073927040_row_1_read_execute-gateway      |   2    |    0     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|       tbl_bf_1073927040_row_1_set_to_one_execute       |   2    |    12    |  20  |    0     |  0   |   0   |  0   |   1    |   1   |   0    |   1    |   0    |
|   tbl_bf_1073927040_row_1_set_to_one_execute-gateway   |   2    |    0     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                  tbl_build_recirc_hdr                  |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                 tbl_build_recirc_hdr_0                 |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                 tbl_build_recirc_hdr_2                 |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_lshr                   |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                 tbl_compute_op_lshr_1                  |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                   tbl_compute_op_sub                   |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_xor_7                  |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|               tbl_compute_rotate_left_19               |   2    |    8     |  32  |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   1    |   0    |
|           tbl_compute_rotate_left_19-gateway           |   2    |    0     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|               tbl_compute_rotate_left_5                |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   8    |   1   |   0    |   0    |   1    |
|            tbl_compute_rotate_left_5$action            |   2    |    0     |  0   |    0     |  1   |   0   |  0   |   0    |   0   |   0    |   0    |   0    |
|                   tbl_hdr_val3_calc                    |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                   tbl_hdr_val4_calc                    |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1221     |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   2    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1364     |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1824     |   2    |    0     |  0   |    0     |  0   |   0   |  0   |   6    |   1   |   0    |   0    |   1    |
| tbl_smartcookief40000c10000zipf0_4hmaxtput1824$action  |   2    |    0     |  0   |    0     |  1   |   0   |  0   |   0    |   0   |   0    |   0    |   0    |
|                        cond-54                         |   3    |    1     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                        cond-73                         |   3    |    2     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|             tbl_bf_1073927040_all_rows_hit             |   3    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                 tbl_compute_op_lshr_0                  |   3    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|                  tbl_compute_op_sub_0                  |   3    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|               tbl_compute_rotate_left_20               |   3    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
|               tbl_compute_rotate_left_6                |   3    |    8     |  32  |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   1    |   0    |
|           tbl_compute_rotate_left_6-gateway            |   3    |    0     |  0   |    1     |  0   |   0   |  0   |   0    |   0   |   1    |   0    |   0    |
|                     tbl_rewrite_0                      |   3    |    0     |  0   |    0     |  0   |   0   |  0   |   4    |   1   |   0    |   0    |   1    |
|     tbl_smartcookief40000c10000zipf0_4hmaxtput1365     |   3    |    0     |  0   |    0     |  0   |   0   |  0   |   0    |   1   |   0    |   0    |   1    |
